[13/04/2021][16:14] Zev | UDP | 70.70.70.72 | Port: 80 | Secs: 30 | Shaw Communications Inc.
[13/04/2021][16:20] Zev | UDP | 70.70.70.72 | Port: 80 | Secs: 30 | Shaw Communications Inc.
[13/04/2021][16:28] Zev | UDP | 56.56.56.56 | Port: 80 | Secs: 2 | United States Postal Service.
[13/04/2021][20:9] Zev | PLAIN | 70.70.70.72 | Port: 80 | Secs: 30 | 
[06/05/2021][17:38] m68k | UDP | 74.73.73.74 | Port: 443 | Secs: 20 | Charter Communications
[06/05/2021][17:43] m68k | UDP | 74.73.73.74 | Port: 80 | Secs: 20 | Charter Communications
[06/05/2021][18:25] m68k | UDP | 74.73.73.74 | Port: 80 | Secs: 120 | Charter Communications
[06/05/2021][19:43] imnew | UDP | 74.74.74.73 | Port: 80 | Secs: 30 | Charter Communications
[06/05/2021][19:46] imnew | STD | 31.186.250.16 | Port: 21 | Secs: 30 | InterNAP Network Services
[06/05/2021][19:47] m68k | UDP | 74.73.73.74 | Port: 80 | Secs: 20 | Charter Communications
[06/05/2021][19:49] imnew | UDP | 128.116.76.53 | Port: 55168 | Secs: 30 | Roblox
[06/05/2021][19:52] imnew | STD | 128.116.76.53 | Port: 55168 | Secs: 30 | Roblox
[06/05/2021][19:53] nightmare | UDP | 188.126.44.28 | Port: 7777 | Secs: 60 | DOMOLAN
[06/05/2021][19:54] imnew | STD | 117.27.239.45 | Port: 80 | Secs: 30 | org
[06/05/2021][19:56] nightmare | UDP | 213.5.229.4 | Port: 7707 | Secs: 120 | ARTPLANET PEER SPB ADDOS # 4
[06/05/2021][19:59] nightmare | SYN | 131.196.198.56 | Port: 7707 | Secs: 300 | org
[06/05/2021][20:24] m68k | udpbypassv2 | 74.73.73.74 | Port: 443 | Secs: 120 | 
[06/05/2021][20:52] m68k | STD | 74.73.73.74 | Port: 80 | Secs: 20 | Charter Communications
[06/05/2021][21:3] joe4 | STD | 154.3.250.71 | Port: 80 | Secs: 30 | Cogent Communications
[06/05/2021][21:27] joe4 | STD | 31.186.250.16 | Port: 21 | Secs: 30 | InterNAP Network Services
[06/05/2021][21:28] joe4 | STD | 66.150.214.8 | Port: 21 | Secs: 30 | Internap Corporation
[06/05/2021][21:30] joe4 | UDP | 216.180.141.98 | Port: 80 | Secs: 30 | Blade Global Corporation
[06/05/2021][21:31] joe4 | STD | 216.180.141.98 | Port: 80 | Secs: 10 | Blade Global Corporation
[06/05/2021][21:53] joe4 | STD | 31.186.250.18 | Port: 21 | Secs: 30 | InterNAP Network Services
[06/05/2021][21:53] joe4 | UDP | 31.186.250.18 | Port: 21 | Secs: 20 | InterNAP Network Services
